id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,trust boundary,67,48,28,45,216,ship,baseline,monotonic-signal,raise-signal
m002,g002,claim drift,95,57,19,41,291,ship,edge,drag-penalty,drop-slack
m003,g003,replay exposure,117,45,23,84,401,ship,recovery,confidence-floor,raise-drag
m004,g004,policy width,43,36,37,14,76,hold,negative,lane-boundary,lower-confidence
m005,g005,trust boundary,63,69,28,89,317,ship,baseline,monotonic-signal,raise-signal
m006,g006,claim drift,63,42,25,81,280,ship,edge,drag-penalty,drop-slack
m007,g007,replay exposure,71,48,32,82,290,ship,recovery,confidence-floor,raise-drag
m008,g008,policy width,78,13,5,74,307,ship,negative,lane-boundary,lower-confidence
m009,g009,trust boundary,50,68,39,51,192,ship,baseline,monotonic-signal,raise-signal
m010,g010,claim drift,70,52,15,80,322,ship,edge,drag-penalty,drop-slack
m011,g011,replay exposure,44,28,12,99,290,ship,recovery,confidence-floor,raise-drag
m012,g012,policy width,35,13,22,57,153,ship,negative,lane-boundary,lower-confidence
m013,g013,trust boundary,43,43,8,60,233,ship,baseline,monotonic-signal,raise-signal
m014,g014,claim drift,81,14,27,103,328,ship,edge,drag-penalty,drop-slack
m015,g015,replay exposure,64,19,24,86,271,ship,recovery,confidence-floor,raise-drag
m016,g016,policy width,59,53,13,26,197,ship,negative,lane-boundary,lower-confidence
m017,g017,trust boundary,113,73,34,20,271,ship,baseline,monotonic-signal,raise-signal
m018,g018,claim drift,42,39,25,101,275,ship,edge,drag-penalty,drop-slack
m019,g019,replay exposure,102,41,50,60,265,ship,recovery,confidence-floor,raise-drag
m020,g020,policy width,48,74,32,31,168,ship,negative,lane-boundary,lower-confidence
m021,g021,trust boundary,121,23,7,40,331,ship,baseline,monotonic-signal,raise-signal
m022,g022,claim drift,104,59,38,83,357,ship,edge,drag-penalty,drop-slack
m023,g023,replay exposure,103,61,41,26,237,ship,recovery,confidence-floor,raise-drag
m024,g024,policy width,62,24,13,75,272,ship,negative,lane-boundary,lower-confidence
m025,g025,trust boundary,54,12,4,80,272,ship,baseline,monotonic-signal,raise-signal
m026,g026,claim drift,84,64,43,81,308,ship,edge,drag-penalty,drop-slack
m027,g027,replay exposure,107,39,29,86,367,ship,recovery,confidence-floor,raise-drag
m028,g028,policy width,34,23,13,37,139,watch,negative,lane-boundary,lower-confidence
