id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,trust boundary,58,48,28,45,198,ship,baseline,monotonic-signal
g002,claim drift,95,68,19,41,302,ship,edge,drag-penalty
g003,replay exposure,117,45,16,84,415,ship,recovery,confidence-floor
g004,policy width,43,36,37,27,102,hold,negative,lane-boundary
g005,trust boundary,54,69,28,89,299,ship,baseline,monotonic-signal
g006,claim drift,63,53,25,81,291,ship,edge,drag-penalty
g007,replay exposure,71,48,25,82,304,ship,recovery,confidence-floor
g008,policy width,78,13,5,87,333,ship,negative,lane-boundary
g009,trust boundary,41,68,39,51,174,ship,baseline,monotonic-signal
g010,claim drift,70,63,15,80,333,ship,edge,drag-penalty
g011,replay exposure,44,28,5,99,304,ship,recovery,confidence-floor
g012,policy width,35,13,22,70,179,ship,negative,lane-boundary
g013,trust boundary,34,43,8,60,215,ship,baseline,monotonic-signal
g014,claim drift,81,25,27,103,339,ship,edge,drag-penalty
g015,replay exposure,64,19,17,86,285,ship,recovery,confidence-floor
g016,policy width,59,53,13,39,223,ship,negative,lane-boundary
g017,trust boundary,104,73,34,20,253,ship,baseline,monotonic-signal
g018,claim drift,42,50,25,101,286,ship,edge,drag-penalty
g019,replay exposure,102,41,43,60,279,ship,recovery,confidence-floor
g020,policy width,48,74,32,44,194,ship,negative,lane-boundary
g021,trust boundary,112,23,7,40,313,ship,baseline,monotonic-signal
g022,claim drift,104,70,38,83,368,ship,edge,drag-penalty
g023,replay exposure,103,61,34,26,251,ship,recovery,confidence-floor
g024,policy width,62,24,13,88,298,ship,negative,lane-boundary
g025,trust boundary,45,12,4,80,254,ship,baseline,monotonic-signal
g026,claim drift,84,75,43,81,319,ship,edge,drag-penalty
g027,replay exposure,107,39,22,86,381,ship,recovery,confidence-floor
g028,policy width,34,23,13,50,165,ship,negative,lane-boundary
g029,trust boundary,89,18,10,79,334,ship,baseline,monotonic-signal
g030,claim drift,32,53,10,98,293,ship,edge,drag-penalty
g031,replay exposure,51,73,32,69,249,ship,recovery,confidence-floor
g032,policy width,99,50,24,59,318,ship,negative,lane-boundary
g033,trust boundary,48,41,42,102,257,ship,baseline,monotonic-signal
g034,claim drift,70,74,32,85,320,ship,edge,drag-penalty
g035,replay exposure,84,58,7,38,288,ship,recovery,confidence-floor
g036,policy width,95,53,35,105,383,ship,negative,lane-boundary
g037,trust boundary,104,18,12,100,402,ship,baseline,monotonic-signal
g038,claim drift,112,73,44,59,327,ship,edge,drag-penalty
g039,replay exposure,31,68,40,43,136,watch,recovery,confidence-floor
g040,policy width,82,33,19,39,237,ship,negative,lane-boundary
g041,trust boundary,111,18,10,82,384,ship,baseline,monotonic-signal
g042,claim drift,85,48,28,25,212,ship,edge,drag-penalty
g043,replay exposure,76,30,17,87,322,ship,recovery,confidence-floor
g044,policy width,75,24,34,79,264,ship,negative,lane-boundary
g045,trust boundary,34,58,23,80,240,ship,baseline,monotonic-signal
g046,claim drift,105,8,19,85,350,ship,edge,drag-penalty
g047,replay exposure,100,55,40,49,273,ship,recovery,confidence-floor
g048,policy width,57,46,31,78,254,ship,negative,lane-boundary
g049,trust boundary,83,9,28,97,313,ship,baseline,monotonic-signal
g050,claim drift,55,28,7,68,260,ship,edge,drag-penalty
g051,replay exposure,89,75,40,58,289,ship,recovery,confidence-floor
g052,policy width,65,66,37,101,324,ship,negative,lane-boundary
g053,trust boundary,57,29,37,84,237,ship,baseline,monotonic-signal
g054,claim drift,56,17,17,37,169,ship,edge,drag-penalty
g055,replay exposure,103,10,9,104,406,ship,recovery,confidence-floor
g056,policy width,86,44,27,99,360,ship,negative,lane-boundary
g057,trust boundary,37,28,17,58,184,ship,baseline,monotonic-signal
g058,claim drift,60,23,34,42,159,ship,edge,drag-penalty
g059,replay exposure,75,58,20,38,244,ship,recovery,confidence-floor
g060,policy width,42,8,39,81,176,ship,negative,lane-boundary
g061,trust boundary,73,55,29,24,191,ship,baseline,monotonic-signal
g062,claim drift,92,46,25,86,352,ship,edge,drag-penalty
g063,replay exposure,52,9,4,78,261,ship,recovery,confidence-floor
g064,policy width,89,63,37,79,325,ship,negative,lane-boundary
g065,trust boundary,111,58,13,84,422,ship,baseline,monotonic-signal
g066,claim drift,37,23,44,48,105,hold,edge,drag-penalty
g067,replay exposure,48,8,19,77,220,ship,recovery,confidence-floor
g068,policy width,57,73,8,96,363,ship,negative,lane-boundary
g069,trust boundary,65,38,4,67,294,ship,baseline,monotonic-signal
g070,claim drift,72,23,25,57,231,ship,edge,drag-penalty
g071,replay exposure,35,53,16,100,291,ship,recovery,confidence-floor
g072,policy width,64,35,13,83,303,ship,negative,lane-boundary
g073,trust boundary,38,29,34,36,109,watch,baseline,monotonic-signal
g074,claim drift,117,63,25,103,453,ship,edge,drag-penalty
g075,replay exposure,116,13,22,98,397,ship,recovery,confidence-floor
g076,policy width,75,60,22,57,280,ship,negative,lane-boundary
g077,trust boundary,58,51,44,41,161,ship,baseline,monotonic-signal
g078,claim drift,53,14,36,37,122,watch,edge,drag-penalty
g079,replay exposure,98,33,12,80,365,ship,recovery,confidence-floor
g080,policy width,36,10,44,23,40,hold,negative,lane-boundary
g081,trust boundary,96,71,19,85,395,ship,baseline,monotonic-signal
g082,claim drift,42,34,5,77,262,ship,edge,drag-penalty
g083,replay exposure,106,22,24,78,342,ship,recovery,confidence-floor
g084,policy width,98,15,14,83,349,ship,negative,lane-boundary
g085,trust boundary,97,49,10,47,317,ship,baseline,monotonic-signal
g086,claim drift,56,33,31,76,235,ship,edge,drag-penalty
g087,replay exposure,39,28,22,95,252,ship,recovery,confidence-floor
g088,policy width,78,63,40,66,271,ship,negative,lane-boundary
g089,trust boundary,101,13,29,56,269,ship,baseline,monotonic-signal
g090,claim drift,116,60,4,99,482,ship,edge,drag-penalty
g091,replay exposure,83,51,35,82,311,ship,recovery,confidence-floor
g092,policy width,114,14,31,35,250,ship,negative,lane-boundary
g093,trust boundary,45,68,10,102,342,ship,baseline,monotonic-signal
g094,claim drift,93,63,43,97,357,ship,edge,drag-penalty
g095,replay exposure,42,28,40,56,144,watch,recovery,confidence-floor
g096,policy width,64,13,19,40,183,ship,negative,lane-boundary
